dataset_id,dataset_name,dataset_family,owner_cycle,canonical_path,allowed_mirror_paths,writer_scripts,consumer_scripts,dataset_type,update_frequency,decision_importance_0_10,freshness_score_0_10,reliability_score_0_10,completeness_score_0_10,overall_data_performance_score_0_10,status,schema_ref,notes,last_scored_utc
B.ORDER_MASTER,Order Master,Finance,B,out/order_master.csv,,scripts/flows/B/B004_build_order_master.py,scripts/flows/A/A003_run_inventory_to_sheet.py|scripts/flows/B/B006_build_fx_ledgers.py|scripts/flows/B/B007_allocate_tokens_live.py|scripts/flows/H/H130_build_phase1_observation_sheet.py|scripts/flows/D/D015_enrich_fee_detail_ledger.py,master_table,continuous,10,7,6,7,7.25,Baselining,header:Date|Order ID|SKU|Price_Total|COGS_Total|Margin_ExVAT,Core finance-operational table used across cycles,2026-03-16T00:00:00Z
B.ORDERS_ALL,Orders All,Finance,B,out/orders_all.csv,,scripts/flows/B/B001_run_orders_to_sheet.py,scripts/flows/B/B002_run_pending_orders_to_sheet.py|scripts/flows/B/B003_run_financial_events_level3.py|scripts/flows/B/B004_build_order_master.py|scripts/flows/A/A015_build_system_health_check.py,master_table,continuous,10,7,7,7,7.60,Baselining,header:amazon_order_id|purchase_date|order_status,Primary local order baseline for downstream builds,2026-03-16T00:00:00Z
B.ORDER_ITEMS_ALL,Order Items All,Finance,B,out/order_items_all.csv,,scripts/flows/B/B001_run_orders_to_sheet.py,scripts/flows/B/B003_run_financial_events_level3.py|scripts/flows/B/B004_build_order_master.py|scripts/flows/D/D008_build_settlement_order_scope_report.py|scripts/flows/A/A004_run_fees_to_sheet.py,master_table,continuous,9,7,7,7,7.40,Baselining,header:amazon_order_id|seller_sku|asin|quantity_ordered,Primary local item-level order baseline,2026-03-16T00:00:00Z
B.TOKEN_LEDGER_LIVE,Token Ledger Live,Tokens,B,out/systems/B/live/token_ledger_live.csv,out/token_ledger_live.csv,scripts/flows/B/B007_allocate_tokens_live.py|scripts/flows/B/B009_apply_stock_adjustments_to_tokens.py|scripts/flows/B/B010_apply_researching_delta.py|scripts/flows/B/B016_export_token_ledger_snapshot.py,scripts/cycles/run_H_pricing_cycle.py|scripts/h/h_floor_truth.py|scripts/flows/H/H110_run_phase1_h_pilot.py|scripts/flows/A/A015_build_system_health_check.py|scripts/flows/B/B025_build_token_cogs_ledger.py,master_table,continuous,10,8,6,7,7.50,Baselining,header:token_id|seller_sku|cost_per_unit|status|allocated_order_id,Canonical is B live path with approved legacy mirror during compat phase,2026-03-16T00:00:00Z
B.TOKEN_ALLOCATIONS_LIVE,Token Allocations Live,Tokens,B,out/systems/B/live/token_allocations_live.csv,out/token_allocations_live.csv,scripts/flows/B/B007_allocate_tokens_live.py|scripts/flows/B/B030_sync_token_allocations_from_sheet.py|scripts/flows/B/B024_build_tokens_november_anchor.py,scripts/flows/B/B023_build_token_system_report.py|scripts/flows/B/B025_build_token_cogs_ledger.py|scripts/flows/B/B021_build_token_proof_pack.py,master_table,continuous,10,8,6,7,7.50,Baselining,header:order_id|seller_sku|token_id|token_cost,Canonical is B live path with approved legacy mirror during compat phase,2026-03-16T00:00:00Z
B.TOKEN_COGS_LEDGER,Token COGS Ledger,Tokens,B,out/token_cogs_ledger.csv,,scripts/flows/B/B025_build_token_cogs_ledger.py,scripts/flows/B/B004_build_order_master.py|scripts/flows/B/B010_build_token_ops_outputs.py|scripts/flows/D/D010_build_pnl_day_breakdown.py|scripts/flows/H/H110_run_phase1_h_pilot.py,analytics_output,continuous,9,7,6,6,6.85,Baselining,header:order_id|seller_sku|token_cost|cogs_total,Critical cost bridge between token and finance layers,2026-03-16T00:00:00Z
A.INVENTORY_SUMMARIES,Inventory Summaries,Inventory,A,out/inventory_summaries.csv,,run_api_collection.py|scripts/flows/A/A003_run_inventory_to_sheet.py,scripts/flows/B/B007_allocate_tokens_live.py|scripts/flows/B/B010_apply_researching_delta.py|scripts/flows/E/E001_build_sales_velocity.py|scripts/flows/H/H110_run_phase1_h_pilot.py|scripts/flows/A/A018_build_phase1_floor_table.py,snapshot,continuous,9,7,6,7,7.05,Baselining,header:asin|seller_sku|total_quantity|available,High downstream dependence with currently split writer ownership,2026-03-16T00:00:00Z
A.PHASE1_DAILY_INTEL_LATEST,Phase1 Daily Intel Latest,Repricing_Intelligence,A,out/phase1_daily_intel_latest.csv,,scripts/flows/A/A016_refresh_phase1_daily_intel.py,scripts/cycles/run_H_pricing_cycle.py|scripts/flows/A/A018_build_phase1_floor_table.py|scripts/flows/H/H130_build_phase1_observation_sheet.py,analytics_output,daily,10,7,6,6,7.05,Baselining,header:sku|foep_price_gbp|cpt_gbp|compliance_status,Primary repricing intelligence table for H decisions,2026-03-16T00:00:00Z
A.PHASE1_FLOOR_TABLE_LATEST,Phase1 Floor Table Latest,Repricing_Intelligence,A,out/phase1_floor_table_latest.csv,,scripts/flows/A/A018_build_phase1_floor_table.py,scripts/cycles/run_H_pricing_cycle.py|scripts/flows/H/H130_build_phase1_observation_sheet.py,analytics_output,daily,9,7,6,6,6.85,Baselining,header:sku|floor_gbp|floor_source|floor_reason_code,Floor governance table consumed by H runtime and observation,2026-03-16T00:00:00Z
H.PHASE1_RUNTIME_FLOOR_SNAPSHOT_LATEST,Phase1 Runtime Floor Snapshot Latest,Repricing_Intelligence,H,out/phase1_runtime_floor_snapshot_latest.csv,,scripts/flows/H/H110_run_phase1_h_pilot.py,scripts/flows/H/H130_build_phase1_observation_sheet.py|scripts/one_off/H150_publish_pricing_dashboard.py,analytics_output,per_cycle_run,9,8,5,6,6.75,Baselining,header:snapshot_utc|sku|execution_state|truth_status,Operational repricer floor/output trace used for publish confidence,2026-03-16T00:00:00Z
