path,retention_class,owner,role,size_mb,file_count,auto_delete_allowed,default_action,archive_after_days,purge_after_days,proof_or_blocker,notes
sellerone_manager/CONTROL,manual_protected,Rep/Custodian,control desk records,15.7,410,no,keep,,,control files are protected,"Includes CURRENT_STATE, queue contract, ADRs, and storage policy."
sellerone_manager/tasks,manual_protected,Rep,canonical queue,unknown,unknown,no,keep,,,queue packets are canonical,"Do not archive or delete without a queue cleanup ticket."
sellerone_manager/AGENTS.md,manual_protected,Rep,manager instructions,unknown,1,no,keep,,,instruction source,"Instruction cleanup can rewrite by ticket but Custodian must not purge it."
AGENTS.md,manual_protected,Rep,root instructions,unknown,1,no,keep,,,instruction source,"Root rules are protected."
config,manual_protected,System,configuration,0.2,99,no,keep,,,configuration protected,"Do not cleanup without config-specific ticket."
secrets,manual_protected,System,credentials-adjacent,unknown,unknown,no,keep,,,protected boundary,"Never inspect or cleanup credentials as storage work."
data,manual_protected,Business,local business facts,798.9,93,no,keep,,,business data protected,"No local DB or Product DB alignment through Custodian."
out,current_runtime,All flows,live runtime and proof,unknown,unknown,no,sub-index,,,needs out subtree index,"Too mixed and active for bulk cleanup classification."
out/sql,current_runtime,System,current database area,unknown,unknown,no,keep,,,live SQL protected,"Current live database files are no-touch."
out/locks,current_runtime,System,active ownership and maintenance locks,unknown,unknown,no,keep,,,lock files protected,"Flag stale locks by report only unless approval exists."
out/systems,current_runtime,All flows,flow runtime evidence,unknown,unknown,no,sub-index,,,active proof protected,"Sub-index by flow before any cleanup planning."
out/systems/M,audit_history,Operations,manager MOT and communications evidence,unknown,unknown,no,archive by policy,30,,needs retention manifest,"Keep latest summaries; archive older evidence only by manifest."
out/backups,rollback,System,rollback history,unknown,unknown,no,manifest only,30,,rollback protected,"Fixed keep-count policy required before cleanup."
project_control,audit_history,Operations,governance and proof control,484.8,281,no,keep,,,governance protected,"May archive old generated reports by manifest; do not delete policy files."
project_control/storage_cleanup,audit_history,Custodian,cleanup evidence,unknown,4,no,keep,,,cleanup proof protected,"Contains 2026-05-25 emergency cleanup manifest and summary."
plans,audit_history,Rep,old plans and context,33.6,571,no,merge then archive,90,,requires queue/backlog reconciliation,"Do not treat as active queue after 2.1 queue contract."
backups,rollback,System,root rollback folder,7.0,12,no,manifest only,30,,rollback protected,"Needs fixed keep-count before deletion."
reference,raw_import,Rep,reference material,33.1,66,no,keep or archive,180,,manual reference protected,"Do not delete without source-owner decision."
scripts,code_protected,Builder,source scripts,117.6,13280,no,keep,,,code protected,"Cleanup only through code-maintenance ticket."
tests,code_protected,Reviewer,test suite,16.4,930,no,keep,,,code protected,"Cleanup only through code-maintenance ticket."
docs,audit_history,Rep,documentation,0.1,11,no,keep,,,documentation protected,"Archive only through documentation cleanup ticket."
__pycache__,temp_debug,Custodian,Python cache,unknown,unknown,conditional,dry-run purge,7,30,needs manifest,"Candidate only after manifest; no action taken."
.pytest_cache,temp_debug,Reviewer,test cache,unknown,unknown,conditional,dry-run purge,7,30,needs manifest,"Candidate only after manifest; no action taken."
out/tmp,temp_debug,Custodian,temp runtime leftovers,unknown,unknown,conditional,dry-run purge,7,30,needs out subtree index,"Must confirm not tied to active investigation."
out/pytest_tmp,temp_debug,Reviewer,test leftovers,unknown,unknown,conditional,dry-run purge,7,30,needs out subtree index,"Must confirm no active test owner."
out/pytest_tmp_run,temp_debug,Reviewer,test leftovers,unknown,unknown,conditional,dry-run purge,7,30,needs out subtree index,"Must confirm no active test owner."
out/pytest_basetemp_p013_o050,temp_debug,Reviewer,test leftovers,unknown,unknown,conditional,dry-run purge,7,30,needs out subtree index,"Must confirm no active test owner."
