path,retention_class,size_mb,file_count,manifest_action,approval_required,protected_exclusion,rule,recovery_route,notes
out/__pycache__,temp_debug,0.021,1,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/_root_files,mixed_current_and_history,1080.718,1147,manifest_grouping_required,yes,yes,Mixed roots must be split into exact files or subgroups before any cleanup is proposed.,No action taken. Future review must separate live files from historical files first.,top-level files are mixed runtime/proof/history; no bulk cleanup
out/analysis_reports,audit_history,780.748,1708,preview_archive_candidate,yes,no,Audit and proof history may be archived by exact manifest only.,"No action taken. Before apply, create archive destination and restore route.","proof or operational history, not bulk delete"
out/archive,audit_history,4.524,2,preview_archive_candidate,yes,no,Audit and proof history may be archived by exact manifest only.,"No action taken. Before apply, create archive destination and restore route.","proof or operational history, not bulk delete"
out/backups,rollback,9482.841,10922,manifest_keep_count_review,yes,no,Rollback folders need a fixed keep-count policy before archive or purge.,No action taken. Rollback sources remain available for recovery.,rollback protected until keep-count policy exists
out/cycle_alerts,audit_history,3.394,412,preview_archive_candidate,yes,no,Audit and proof history may be archived by exact manifest only.,"No action taken. Before apply, create archive destination and restore route.","proof or operational history, not bulk delete"
out/golden_runs,audit_history,0.002,2,preview_archive_candidate,yes,no,Audit and proof history may be archived by exact manifest only.,"No action taken. Before apply, create archive destination and restore route.","proof or operational history, not bulk delete"
out/h_handover_test_a5bepq9g,temp_debug,0,0,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/h_reconcile_test_400yw7la,temp_debug,0,0,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/h_reconcile_test_mwt33aiz,temp_debug,0,0,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/h_reconcile_test_v5nxlu76,temp_debug,0,0,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/h_reconcile_test_ykdt2bzl,temp_debug,0,0,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/home_time,audit_history,0.065,5,preview_archive_candidate,yes,no,Audit and proof history may be archived by exact manifest only.,"No action taken. Before apply, create archive destination and restore route.","proof or operational history, not bulk delete"
