"job_ref","packet","flow","task_type","status","luke_action_required","lane_class","reason"
"A-BLOCKED-EVIDENCE-USERS","MGR_A_repair_C_Users_Luke_Desktop_Sel.md","","","in_progress","0","active now","Worker/reviewer lane is active or assigned"
"F-SELLER-CENTRAL-SAFE-LOGIN-TODAY","MGR_F_SELLER_CENTRAL_SAFE_LOGIN_TODAY.md","F","urgent_business_blocker_coordination","in_progress","0","active now","Worker/reviewer lane is active or assigned"
"F-SOURCE-INTAKE-CHAIN","MOT_F_F_SOURCE_INTAKE_CHAIN_PROOF.md","","","in_progress","0","active now","Worker/reviewer lane is active or assigned"
"SO21-CONTROL-FLOW-CONFIRMATION","MGR_SO21_CONTROL_FLOW_CONFIRMATION_V1.md","SO21","control_confirmation","in_progress","0","active now","Worker/reviewer lane is active or assigned"
"SO21-OPERATIONS-SHIFT-MANAGER-CONTROL","MGR_SO21_OPERATIONS_SHIFT_MANAGER_CONTROL.md","SO21","operations_control","in_progress","0","active now","Worker/reviewer lane is active or assigned"
"B-B067-LEVEL3-LINK-02","MGR_B067_LEVEL3_CONFIDENCE_LINK_V1.md","","","unknown","","blocked with reason","Unknown packet status requires Operations inspection before assignment"
"B-FALLBACK-COST-AUDIT-02","MGR_B_FALLBACK_TOKEN_COST_AUDIT_V1.md","","","unknown","","blocked with reason","Unknown packet status requires Operations inspection before assignment"
"B-FALLBACK-COST-SOURCE-02","MGR_B_FALLBACK_TOKEN_COST_SOURCE_REPAIR_V1.md","","","unknown","","blocked with reason","Unknown packet status requires Operations inspection before assignment"
"B-LEVEL3-UNCLEAR-PATHS-02-02","MGR_B_LEVEL3_UNCLEAR_FEE_PATHS_V1.md","","","unknown","","blocked with reason","Unknown packet status requires Operations inspection before assignment"
"B-MARKETPLACE-COVERAGE-02-02","MGR_B_MARKETPLACE_COVERAGE_WARNING_REVIEW_V1.md","","","unknown","","blocked with reason","Unknown packet status requires Operations inspection before assignment"
"B-ORIGINAL-B009-REVIEW-02","MGR_B_ORIGINAL_B009_PATH_REVIEW_V1.md","","","unknown","","blocked with reason","Unknown packet status requires Operations inspection before assignment"
"B-STOCK-ADJUSTMENT-ONLY-02","MGR_B_STOCK_ADJUSTMENT_ONLY_RETURN_PROOF_V1.md","","","unknown","","blocked with reason","Unknown packet status requires Operations inspection before assignment"
"E-ROI-COVERAGE-BUILD-02","MGR_E_ROI_COVERAGE_EXPANSION_V1.md","","","unknown","","blocked with reason","Unknown packet status requires Operations inspection before assignment"
"F-BROWSER-SESSION-DURABILITY","MGR_F_BROWSER_SESSION_DURABILITY_V1.md","","","blocked_needs_luke","1","blocked with reason","Luke/protected decision or blocker recorded in packet"
"O-RESTOCK-CARD-SUPPLIER-02","MGR_O_RESTOCK_CARD_SUPPLIER_PROOF_CONTROLS_V1.md","","","unknown","","blocked with reason","Unknown packet status requires Operations inspection before assignment"
"O-SUPPLIER-ACTION-WORKBENCH-02","MGR_O_SUPPLIER_PROOF_ACTION_WORKBENCH_V1.md","","","unknown","","blocked with reason","Unknown packet status requires Operations inspection before assignment"
"O-SUPPLIER-FIELD-FOCUS-02","MGR_O_SUPPLIER_PROOF_FIELD_FOCUS_FILTER_V1.md","","","unknown","","blocked with reason","Unknown packet status requires Operations inspection before assignment"
"A-ADD-OR-CONFIRM","MGR_A_proof_gap_project_control_EXPECTAT.md","","","parked","0","parked with reason","Parked until predecessor, proof, or timing condition exists"
"B-ADD-OR-CONFIRM","MGR_B_proof_gap_project_control_EXPECTAT.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"B-AMAZON-RETURN-COVERAGE","MGR_B_AMAZON_RETURN_COVERAGE_PROOF_V1.md","B","manager_read_only_proof","proved","0","parked with reason","Already proved/closed; no worker needed now"
"B-API-REFUND-FEE","MGR_B_repair_b_refund_fee_shipping_roi_api_proof.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"B-B008-TOKEN-LEDGER-GAPS","MGR_B_B008_TOKEN_LEDGER_GAP_REVIEW_V1.md","B","manager_read_only_proof","proved","0","parked with reason","Already proved/closed; no worker needed now"
"B-BOARD-WARNING-VISIBILITY","MGR_B_BOARD_WARNING_VISIBILITY_V1.md","B","manager_board_visibility","proved","0","parked with reason","Already proved/closed; no worker needed now"
"B-DAMAGED-RETURN-REUSE","MGR_B_DAMAGED_RETURN_REUSE_DECISION_PREVIEW_V1.md","B","protected_decision_preview","proved","0","parked with reason","Already proved/closed; no worker needed now"
"B-FALLBACK-PROOF-RECONCILE","MGR_B_FALLBACK_COST_PROOF_RECONCILIATION_V1.md","B","manager_read_only_proof","proved","0","parked with reason","Already proved/closed; no worker needed now"
"B-FEE-SHIPPING-API","MGR_B_FEE_SHIPPING_API_PROOF_DESIGN_V1.md","B","manager_read_only_proof_design","proved","0","parked with reason","Already proved/closed; no worker needed now"
"B-HISTORICAL-REPLACEMENT-STOCK","MGR_B_HISTORICAL_REPLACEMENT_STOCK_PROOF_V1.md","B","manager_read_only_proof","proved","0","parked with reason","Already proved/closed; no worker needed now"
"B-LEVEL3-FEE-MAP","MGR_B_LEVEL3_FEE_SHIPPING_PROOF_MAP_V1.md","B","manager_read_only_proof","proved","0","parked with reason","Already proved/closed; no worker needed now"
